timestamp,longitude,latitude,speed
1513430125,3114.53333,12117.69096,0.026
1513430126,3114.53349,12117.69109,0.022
1513430127,3114.53362,12117.69116,0.011
1513430128,3114.53369,12117.69117,0.011
1513430129,3114.53372,12117.69115,0.002
1513430130,3114.53375,12117.69110,0.013
1513430131,3114.53378,12117.69101,0.009
1513430132,3114.53380,12117.69095,0.007
1513430133,3114.53381,12117.69091,0.006
1513430134,3114.53382,12117.69087,0.013
1513430135,3114.53382,12117.69085,0.017
1513430136,3114.53382,12117.69083,0.019
1513430137,3114.53382,12117.69082,0.020
1513430138,3114.53383,12117.69081,0.013
1513430139,3114.53383,12117.69079,0.013
1513430140,3114.53381,12117.69078,0.020
1513430141,3114.53380,12117.69077,0.013
1513430142,3114.53380,12117.69076,0.002
1513430143,3114.53379,12117.69075,0.017
1513430144,3114.53378,12117.69075,0.004
1513430145,3114.53377,12117.69076,0.019
1513430146,3114.53376,12117.69076,0.030
1513430147,3114.53374,12117.69075,0.017
1513430148,3114.53372,12117.69076,0.015
1513430149,3114.53370,12117.69075,0.015
1513430150,3114.53368,12117.69075,0.017
1513430151,3114.53367,12117.69075,0.022
1513430152,3114.53366,12117.69074,0.011
1513430153,3114.53365,12117.69074,0.017
1513430154,3114.53364,12117.69074,0.013
1513430155,3114.53362,12117.69075,0.017
1513430156,3114.53360,12117.69076,0.026
1513430157,3114.53359,12117.69077,0.017
1513430158,3114.53358,12117.69078,0.004
1513430159,3114.53358,12117.69077,0.017
1513430160,3114.53357,12117.69076,0.011
1513430161,3114.53357,12117.69074,0.015
1513430162,3114.53356,12117.69072,0.017
1513430163,3114.53356,12117.69071,0.004
1513430164,3114.53356,12117.69070,0.009
1513430165,3114.53355,12117.69070,0.009
1513430166,3114.53354,12117.69070,0.013
1513430167,3114.53354,12117.69069,0.006
1513430168,3114.53354,12117.69069,0.009
1513430169,3114.53353,12117.69069,0.017
1513430170,3114.53353,12117.69070,0.019
1513430171,3114.53353,12117.69069,0.009
1513430172,3114.53354,12117.69068,0.007
1513430173,3114.53354,12117.69067,0.006
1513430174,3114.53354,12117.69066,0.022
1513430175,3114.53353,12117.69063,0.009
1513430176,3114.53353,12117.69062,0.011
1513430177,3114.53352,12117.69060,0.004
1513430178,3114.53352,12117.69059,0.007
1513430179,3114.53351,12117.69057,0.019
1513430180,3114.53351,12117.69056,0.011
1513430181,3114.53351,12117.69054,0.002
1513430182,3114.53350,12117.69052,0.011
1513430183,3114.53350,12117.69050,0.030
1513430184,3114.53350,12117.69048,0.026
1513430185,3114.53350,12117.69045,0.019
1513430186,3114.53350,12117.69042,0.015
1513430187,3114.53350,12117.69039,0.009
1513430188,3114.53350,12117.69036,0.017
1513430189,3114.53350,12117.69035,0.011
1513430190,3114.53350,12117.69033,0.011
1513430191,3114.53350,12117.69032,0.017
1513430192,3114.53350,12117.69031,0.006
1513430193,3114.53351,12117.69030,0.019
1513430194,3114.53351,12117.69030,0.028
1513430195,3114.53352,12117.69029,0.002
1513430196,3114.53352,12117.69030,0.019
1513430197,3114.53352,12117.69031,0.020
1513430198,3114.53351,12117.69032,0.002
1513430199,3114.53351,12117.69034,0.006
1513430200,3114.53350,12117.69036,0.019
1513430201,3114.53350,12117.69039,0.009
1513430202,3114.53349,12117.69040,0.007
1513430203,3114.53348,12117.69041,0.015
1513430204,3114.53348,12117.69042,0.013
1513430205,3114.53347,12117.69043,0.013
1513430206,3114.53347,12117.69044,0.011
1513430207,3114.53347,12117.69045,0.031
1513430208,3114.53346,12117.69046,0.017
1513430209,3114.53345,12117.69046,0.004
1513430210,3114.53344,12117.69047,0.019
1513430211,3114.53343,12117.69048,0.019
1513430212,3114.53342,12117.69050,0.024
1513430213,3114.53342,12117.69051,0.015
1513430214,3114.53341,12117.69053,0.007
1513430215,3114.53340,12117.69055,0.017
1513430216,3114.53339,12117.69056,0.022
1513430217,3114.53339,12117.69058,0.024
1513430218,3114.53338,12117.69059,0.020
1513430219,3114.53337,12117.69060,0.017
1513430220,3114.53336,12117.69061,0.006
1513430221,3114.53335,12117.69061,0.004
1513430222,3114.53335,12117.69062,0.028
1513430223,3114.53335,12117.69061,0.013
